variable,mean_importance,sd_importance
std_mfcc_8th_coef,8.102206979784645e-4,5.6906559421098414e-5
tqwt_std_value_dec_9,8.063381426409576e-4,5.403334627981852e-5
tqwt_median_value_dec_12,8.058002582462518e-4,6.0370889682360335e-5
tqwt_std_value_dec_5,8.048815794017864e-4,5.207664569482505e-5
det_lt_tkeo_std_1_coef,7.989215890599484e-4,8.406907837406822e-5
app_lt_tkeo_mean_2_coef,7.955342834682323e-4,4.737553227585747e-5
tqwt_entropy_log_dec_25,7.86007607742361e-4,5.73903619335231e-5
tqwt_skewness_value_dec_8,7.834300929544276e-4,7.107130966574941e-5
tqwt_max_value_dec_10,7.832420205797298e-4,6.544495293890668e-5
app_tkeo_std_9_coef,7.802215771765138e-4,4.585349215784734e-5
app_entropy_shannon_8_coef,7.757914628422631e-4,3.5533726477572245e-5
imf_snr_entropy,7.74224649111568e-4,7.056147423373502e-5
mean_0th_delta,7.739725443337478e-4,5.936445037039259e-5
tqwt_min_value_dec_17,7.68865278813643e-4,6.634452656591545e-5
det_lt_entropy_shannon_3_coef,7.686351101068988e-4,4.312174833913407e-5
tqwt_tkeo_std_dec_17,7.675564418138823e-4,4.491015931208e-5
mean_noise_to_harm_harmonicity,7.660084767419554e-4,4.1268159120214596e-5
std_3rd_delta_delta,7.64259698631827e-4,5.069400718463552e-5
std_2nd_delta_delta,7.641658451745301e-4,6.894479862929666e-5
app_lt_tkeo_mean_6_coef,7.619045662876277e-4,3.961968391947718e-5
tqwt_energy_dec_35,7.587301420735604e-4,6.352987410468328e-5
tqwt_tkeo_mean_dec_5,7.578461413001626e-4,6.857080216136651e-5
det_tkeo_std_1_coef,7.569196702280993e-4,6.7145979899382e-5
tqwt_median_value_dec_36,7.548464785558796e-4,6.753070065222397e-5
app_entropy_shannon_6_coef,7.535224868986787e-4,3.59223605654605e-5
app_lt_tkeo_std_4_coef,7.515919330450696e-4,5.259496916234719e-5
app_det_tkeo_mean_4_coef,7.512676677352473e-4,3.427406066702475e-5
tqwt_tkeo_mean_dec_17,7.483377830638826e-4,5.181136465214553e-5
tqwt_min_value_dec_10,7.475378503735182e-4,5.1536544414811405e-5
tqwt_median_value_dec_19,7.418272753897505e-4,5.302024467238949e-5
tqwt_mean_value_dec_7,7.417016939997254e-4,6.061290841202103e-5
tqwt_tkeo_mean_dec_32,7.385043692053525e-4,4.9108911397426446e-5
tqwt_kurtosis_value_dec_32,7.380048981741314e-4,9.179132465076825e-5
tqwt_energy_dec_7,7.366187418871804e-4,5.599386465929191e-5
gne_std,7.352240384109536e-4,4.562682699898897e-5
mean_harm_to_noise_harmonicity,7.323560461861172e-4,6.23144667550671e-5
tqwt_kurtosis_value_dec_22,7.292823288580364e-4,3.847681512526526e-5
mean_auto_corr_harmonicity,7.239546479604784e-4,6.618433519325437e-5
tqwt_median_value_dec_13,7.221424194338438e-4,4.734898428812417e-5
app_entropy_log_7_coef,7.169233685456996e-4,3.667105559584509e-5
app_lt_entropy_shannon_2_coef,7.161964664574331e-4,4.9805913817166436e-5
